Date,Open,High,Low,Close,Adj Close,Volume
2016-08-11,166.0,178.0,162.10000610351562,171.64999389648438,169.46246337890625,2891
2016-08-12,170.0,175.0,165.5500030517578,174.9499969482422,172.7204132080078,265
2016-08-16,172.0,182.0,167.14999389648438,171.9499969482422,169.75865173339844,771
2016-08-17,176.89999389648438,176.89999389648438,170.0,174.89999389648438,172.6710662841797,260
2016-08-18,183.39999389648438,183.39999389648438,170.25,180.5,178.19969177246094,945
2016-08-19,181.5,181.5,172.0,172.5500030517578,170.35101318359375,1742
2016-08-22,172.0,178.0,170.0,174.75,172.52296447753906,1346
2016-08-23,171.0,172.0,161.60000610351562,170.0,167.83349609375,742
2016-08-24,170.0,175.0,166.1999969482422,175.0,172.76979064941406,1147
2016-08-25,171.0,171.0,170.0,170.0,167.83349609375,883
2016-08-26,170.0500030517578,170.1999969482422,168.75,169.0500030517578,166.89561462402344,1255
2016-08-29,166.0500030517578,167.0500030517578,166.0500030517578,167.0,164.8717498779297,92
2016-08-30,166.0,169.8000030517578,166.0,167.5,165.36537170410156,860
2016-08-31,165.0,167.25,165.0,167.0,164.8717498779297,172
2016-09-01,169.89999389648438,170.0500030517578,169.89999389648438,170.0,167.83349609375,407
2016-09-02,170.0,170.0500030517578,170.0,170.0,167.83349609375,730
2016-09-06,165.0,177.89999389648438,160.0,171.4499969482422,169.2650146484375,7071
2016-09-07,170.0,170.0,170.0,170.0,167.83349609375,406
2016-09-08,167.0,169.0,165.14999389648438,169.0,166.84625244140625,472
2016-09-09,168.0,168.0,165.0500030517578,166.60000610351562,164.4768524169922,17
2016-09-12,166.0500030517578,166.0500030517578,166.0,166.0,163.88449096679688,60
2016-09-14,160.14999389648438,175.0,160.14999389648438,170.0,167.83349609375,4878
2016-09-15,175.0,175.0,170.0,170.0,167.83349609375,660
2016-09-16,170.0,176.4499969482422,170.0,176.1999969482422,173.95448303222656,1747
2016-09-19,172.0,182.5,170.0,172.0,169.80801391601562,1714
2016-09-20,173.0,173.0,170.0,170.0,167.83349609375,390
2016-09-21,169.0,174.85000610351562,169.0,169.0,166.84625244140625,2603
2016-09-22,168.0,175.8000030517578,166.39999389648438,173.14999389648438,170.943359375,752
2016-09-23,170.0,175.0,170.0,173.0,170.79527282714844,1114
2016-09-26,174.89999389648438,181.39999389648438,172.0,175.0,172.76979064941406,1715
2016-09-27,172.0500030517578,175.0,172.0500030517578,175.0,172.76979064941406,897
2016-09-28,174.89999389648438,179.89999389648438,174.89999389648438,175.0500030517578,172.81915283203125,119
2016-09-29,175.0,183.5,175.0,179.85000610351562,177.55796813964844,1411
2016-09-30,192.6999969482422,202.0,180.0,199.5500030517578,197.00692749023438,2878
2016-10-03,195.0,205.0,187.0,200.0,197.451171875,2259
2016-10-04,197.0,198.0,197.0,198.0,195.47666931152344,171
2016-10-05,206.89999389648438,206.89999389648438,196.0500030517578,200.0,197.451171875,730
2016-10-06,196.0,200.0,188.4499969482422,200.0,197.451171875,369
2016-10-07,200.0,200.0,194.9499969482422,200.0,197.451171875,604
2016-10-10,196.0500030517578,203.0,196.0500030517578,200.0,197.451171875,150
2016-10-13,222.0,222.0,200.0,203.0,200.4129638671875,24716
2016-10-14,204.89999389648438,204.89999389648438,200.0,200.0,197.451171875,131
2016-10-17,202.0,202.0,200.0,200.0,197.451171875,176
2016-10-18,200.0,213.5,200.0,208.75,206.0896759033203,1234
2016-10-19,203.0,205.0,200.39999389648438,205.0,202.38746643066406,537
2016-10-20,203.0,220.0,203.0,217.4499969482422,214.67880249023438,1004
2016-10-21,211.0,215.0,205.0,205.35000610351562,202.73300170898438,243
